股票,進場日,出場日,進場價,出場價,報酬率,持有天數,結果
3044,2019-08-08,2019-08-12,106.0,105.5,-0.47,4,失敗
1203,2019-08-12,2019-08-13,26.65,26.75,0.38,1,勝利
1321,2019-08-12,2019-08-13,27.8,27.85,0.18,1,勝利
1722,2019-08-12,2019-08-13,47.75,47.35,-0.84,1,失敗
1737,2019-08-12,2019-08-13,33.75,33.8,0.15,1,勝利
2338,2019-08-12,2019-08-19,26.05,26.5,1.73,7,勝利
2397,2019-08-12,2019-08-19,84.5,85.1,0.71,7,勝利
2461,2019-08-12,2019-08-19,21.7,23.1,6.45,7,勝利
2880,2019-08-12,2019-08-13,21.4,21.2,-0.93,1,失敗
2890,2019-08-12,2019-08-13,12.45,12.3,-1.2,1,失敗
3031,2019-08-12,2019-08-19,12.25,13.35,8.98,7,勝利
5525,2019-08-12,2019-08-13,28.25,28.15,-0.35,1,失敗
5880,2019-08-12,2019-08-13,20.85,20.7,-0.72,1,失敗
6285,2019-08-12,2019-08-19,76.9,77.8,1.17,7,勝利
6456,2019-08-12,2019-08-19,112.5,117.5,4.44,7,勝利
9924,2019-08-12,2019-08-19,45.0,45.7,1.56,7,勝利
1417,2019-08-13,2019-08-20,6.51,6.64,2.0,7,勝利
1614,2019-08-13,2019-08-14,27.5,27.6,0.36,1,勝利
2395,2019-08-13,2019-08-14,261.0,262.0,0.38,1,勝利
6451,2019-08-13,2019-08-14,104.0,104.5,0.48,1,勝利
9914,2019-08-13,2019-08-14,193.0,189.0,-2.07,1,失敗
2472,2019-08-14,2019-08-15,40.85,40.25,-1.47,1,失敗
8454,2019-08-14,2019-08-15,261.0,257.5,-1.34,1,失敗
1103,2019-08-15,2019-08-22,16.45,16.55,0.61,7,勝利
1722,2019-08-16,2019-08-19,47.75,47.95,0.42,3,勝利
2377,2019-08-16,2019-08-19,86.4,87.6,1.39,3,勝利
2705,2019-08-16,2019-08-19,7.03,7.12,1.28,3,勝利
2812,2019-08-16,2019-08-19,12.45,12.55,0.8,3,勝利
2845,2019-08-16,2019-08-19,12.3,12.35,0.41,3,勝利
2890,2019-08-16,2019-08-19,12.4,12.35,-0.4,3,失敗
3617,2019-08-16,2019-08-21,91.7,90.2,-1.64,5,失敗
6271,2019-08-16,2019-08-23,127.5,124.0,-2.75,7,失敗
1527,2019-08-19,2019-08-20,57.0,57.6,1.05,1,勝利
3706,2019-08-19,2019-08-22,31.8,31.75,-0.16,3,失敗
0055,2019-08-20,2019-08-21,18.19,18.15,-0.22,1,失敗
00670L,2019-08-20,2019-08-21,35.15,34.92,-0.65,1,失敗
1319,2019-08-20,2019-08-26,44.45,44.6,0.34,6,勝利
1416,2019-08-20,2019-08-21,15.3,15.25,-0.33,1,失敗
1762,2019-08-20,2019-08-26,34.9,33.2,-4.87,6,失敗
